DateTime,Entries,UniqueIPs
1516930828,2115,2137
1516934425,2145,2168
1516939228,2067,2089
1516943429,2081,2102
1516948228,2065,2086
1516952427,2084,2105
1516956025,2113,2134
1516959629,2095,2115
1516962625,2090,2111
1516966228,2082,2101
1516970428,2096,2116
1516975829,2139,2161
1516980628,2134,2157
1516984225,2127,2150
1516991426,2144,2168
1516995029,2128,2152
1517002226,2127,2150
1517005829,2128,2151
1517009425,2147,2170
1517013027,2144,2165
1517020225,2094,2115
1517024427,2057,2078
1517029828,2039,2062
1517035228,2033,2057
1517040628,1962,1986
1517045428,1981,2005
1517049025,2011,2035
1517052629,2011,2035
1517056226,2013,2037
1517059829,2052,2077
1517067026,2003,2026
1517070629,2005,2028
1517074828,1988,2010
1517079628,2007,2029
1517083226,2057,2079
1517086828,2091,2113
1517094027,2127,2149
1517097629,2125,2147
1517101225,2090,2113
1517105428,2094,2117
1517109026,2110,2133
1517114428,2107,2128
1517119829,2056,2078
1517123427,2067,2089
1517127027,2042,2063
1517130628,2027,2048
1517133628,2019,2040
1517137226,2025,2046
1517141428,1999,2019
1517146829,1998,2018
1517152228,1999,2019
1517157628,2009,2030
1517161225,2033,2057
1517164228,2022,2045
1517167826,2071,2094
1517171429,2069,2093
1517175026,2052,2077
1517182227,2091,2118
1517185829,2127,2153
1517189426,2157,2183
1517193028,2185,2212
1517197228,2154,2181
1517202629,2155,2183
1517208028,2146,2173
1517213428,2144,2171
1517217026,2156,2183
1517222428,2093,2120
1517227828,2123,2150
1517233230,2112,2138
1517239230,2133,2160
1517243429,2093,2119
1517247629,2110,2136
1517251226,2125,2151
1517256030,2110,2135
1517259626,2165,2191
1517263829,2158,2185
1517268029,2153,2179
1517273429,2191,2217
1517278228,2174,2198
1517284228,2214,2240
1517289629,2193,2222
1517294429,2203,2232
1517298026,2224,2255
1517303429,2205,2234
1517308828,2238,2268
1517314229,2250,2280
1517319629,2214,2243
1517325030,2221,2248
1517330430,2244,2272
1517335830,2204,2230
1517339426,2240,2268
1517344229,2205,2231
1517348428,2223,2250
1517353830,2242,2269
1517359229,2211,2237
1517364630,2218,2244
1517370630,2175,2201
1517375429,2142,2169
1517380230,2175,2202
1517383826,2164,2191
1517388030,2150,2178
1517391625,2164,2192
1517396429,2166,2192
1517400026,2209,2235
1517403629,2209,2235
1517407225,2227,2253
1517410829,2225,2250
1517418028,2268,2293
1517421630,2261,2285
1517428826,2242,2265
1517432429,2259,2282
1517436026,2249,2272
1517440233,2175,2194
1517445629,2193,2214
1517451028,2164,2185
1517456430,2178,2200
1517461829,2216,2238
1517467229,2191,2212
1517472029,2179,2199
1517475626,2214,2234
1517479229,2159,2178
1517482826,2188,2207
1517487031,2150,2168
1517493030,2149,2166
1517497830,2149,2167
1517502633,2187,2204
1517506226,2232,2251
1517509830,2229,2248
1517514030,2253,2273
1517518831,2301,2324
1517523028,2326,2349
1517527830,2312,2335
1517532030,2270,2293
1517538029,2283,2307
1517542830,2200,2224
1517548229,2204,2227
1517553029,2171,2193
1517556626,2183,2205
1517563826,2166,2187
1517567430,2150,2172
1517574626,2123,2145
1517578229,2149,2171
1517581827,2138,2161
1517586030,2123,2147
1517590831,2125,2148
1517594426,2154,2180
1517598029,2148,2173
1517601626,2172,2197
1517605830,2171,2195
1517610629,2210,2234
1517614226,2256,2280
1517618429,2282,2306
1517622031,2295,2319
1517625627,2327,2351
1517631028,2162,2184
1517636429,2158,2180
1517640026,2168,2191
1517643629,2095,2118
1517647225,2117,2140
1517652629,2050,2073
1517656225,2068,2091
1517661630,2055,2077
1517667029,2022,2043
1517672431,2048,2069
1517677229,2056,2077
1517680825,2060,2082
1517684430,2040,2062
1517688629,2029,2051
1517692225,2067,2090
1517695831,2055,2075
1517701234,2072,2092
1517706629,2112,2131
1517711430,2207,2227
1517715027,2247,2269
1517719230,2270,2292
1517722827,2302,2324
1517726430,2277,2299
1517731231,2253,2275
1517734826,2269,2291
1517738430,2280,2302
1517742027,2271,2294
1517745630,2259,2282
1517749830,2254,2277
1517755231,2233,2255
1517759429,2217,2238
1517763630,2206,2227
1517767226,2247,2268
1517771430,2203,2223
1517776230,2169,2189
1517779828,2195,2215
1517783430,2160,2180
1517787027,2187,2208
1517794226,2206,2227
1517798429,2166,2186
1517804434,2165,2184
1517809229,2134,2153
1517814629,2155,2174
1517819429,2163,2182
1517823026,2200,2219
1517826632,2209,2228
1517830830,2183,2202
1517835030,2209,2229
1517839229,2192,2212
1517842826,2205,2226
1517846430,2217,2238
1517850028,2213,2234
1517853629,2210,2232
1517857227,2240,2264
1517861430,2224,2249
1517866232,2218,2243
1517870432,2161,2185
1517875831,2196,2221
1517881230,2069,2095
1517886630,2065,2090
1517892630,2012,2038
1517897431,1986,2011
1517900426,2013,2038
1517904029,1997,2022
1517907627,2016,2041
1517911230,1988,2012
1517914826,1998,2023
1517922027,2034,2059
1517925629,2034,2059
1517929830,2030,2055
1517934029,2050,2075
1517938229,2067,2092
1517941826,2068,2093
1517945429,2060,2085
1517949026,2075,2100
1517952632,2064,2089
1517956829,2051,2075
1517960426,2030,2054
1517963430,2050,2074
1517967025,2016,2040
1517970630,1953,1975
1517974227,1968,1990
1517978429,1893,1914
1517982026,1923,1944
1517986828,1861,1882
1517990426,1861,1882
1517993428,1821,1842
1517997025,1841,1862
